t, x1, x2, u
0.129, 0.000806893, 0.0122335, 1
0.13, 0.00081917, 0.0123207, 1
0.131, 0.000831534, 0.0124076, 1
0.132, 0.000843985, 0.0124944, 1
0.133, 0.000856523, 0.0125811, 1
0.134, 0.000869147, 0.0126675, 1
0.135, 0.000881858, 0.0127539, 1
0.136, 0.000894655, 0.01284, 1
0.137, 0.000907538, 0.012926, 1
0.138, 0.000920507, 0.0130119, 1
0.139, 0.000933562, 0.0130976, 1
0.14, 0.000946702, 0.0131831, 1
0.141, 0.000959928, 0.0132685, 1
0.142, 0.000973239, 0.0133537, 1
0.143, 0.000986635, 0.0134387, 1
0.144, 0.00100012, 0.0135235, 1
0.145, 0.00101368, 0.0136082, 1
0.146, 0.00102733, 0.0136928, 1
0.147, 0.00104107, 0.0137771, 1
0.148, 0.00105489, 0.0138613, 1
0.149, 0.00106879, 0.0139453, 1
0.15, 0.00108278, 0.0140292, 1
0.151, 0.00109685, 0.0141129, 1
0.152, 0.001111, 0.0141964, 1
0.153, 0.00112524, 0.0142797, 1
0.154, 0.00113956, 0.0143629, 1
0.155, 0.00115397, 0.0144459, 1
0.156, 0.00116845, 0.0145287, 1
0.157, 0.00118302, 0.0146113, 1
0.158, 0.00119768, 0.0146938, 1
0.159, 0.00121241, 0.0147761, 1
0.16, 0.00122723, 0.0148582, 1
0.161, 0.00124213, 0.0149401, 1
0.162, 0.00125711, 0.0150219, 1
0.163, 0.00127217, 0.0151034, 1
0.164, 0.00128732, 0.0151848, 1
0.165, 0.00130254, 0.015266, 1
0.166, 0.00131785, 0.015347, 1
0.167, 0.00133324, 0.0154279, 1
0.168, 0.0013487, 0.0155085, 1
0.169, 0.00136425, 0.015589, 1
0.17, 0.00137988, 0.0156693, 1
0.171, 0.00139559, 0.0157494, 1
0.172, 0.00141138, 0.0158293, 1
0.173, 0.00142725, 0.015909, 1
0.174, 0.0014432, 0.0159886, 1
0.175, 0.00145923, 0.0160679, 1
0.176, 0.00147533, 0.0161471, 1
0.177, 0.00149152, 0.0162261, 1
0.178, 0.00150779, 0.0163049, 1
0.179, 0.00152413, 0.0163835, 1
0.18, 0.00154055, 0.0164619, 1
0.181, 0.00155705, 0.0165401, 1
0.182, 0.00157363, 0.0166181, 1
0.183, 0.00159029, 0.0166959, 1
0.184, 0.00160702, 0.0167735, 1
0.185, 0.00162384, 0.0168509, 1
0.186, 0.00164073, 0.0169282, 1
0.187, 0.00165769, 0.0170052, 1
0.188, 0.00167474, 0.017082, 1
0.189, 0.00169186, 0.0171587, 1
0.19, 0.00170905, 0.0172351, 1
0.191, 0.00172633, 0.0173114, 1
0.192, 0.00174368, 0.0173874, 1
0.193, 0.0017611, 0.0174632, 1
0.194, 0.0017786, 0.0175389, 1
0.195, 0.00179618, 0.0176143, 1
0.196, 0.00181383, 0.0176895, 1
0.197, 0.00183156, 0.0177646, 1
0.198, 0.00184936, 0.0178394, 1
0.199, 0.00186724, 0.017914, 1
0.2, 0.00188519, 0.0179884, 1
0.201, 0.00190321, 0.0180626, 1
0.202, 0.00192131, 0.0181366, 1
0.203, 0.00193949, 0.0182104, 1
0.204, 0.00195773, 0.018284, 1
0.205, 0.00197606, 0.0183574, 1
0.206, 0.00199445, 0.0184306, 1
0.207, 0.00201292, 0.0185035, 1
0.208, 0.00203146, 0.0185763, 1
0.209, 0.00205007, 0.0186488, 1
0.21, 0.00206875, 0.0187211, 1
0.211, 0.00208751, 0.0187932, 1
0.212, 0.00210634, 0.0188651, 1
0.213, 0.00212524, 0.0189368, 1
0.214, 0.00214421, 0.0190083, 1
0.215, 0.00216326, 0.0190795, 1
0.216, 0.00218237, 0.0191506, 1
0.217, 0.00220156, 0.0192214, 1
0.218, 0.00222082, 0.019292, 1
0.219, 0.00224014, 0.0193624, 1
0.22, 0.00225954, 0.0194326, 1
0.221, 0.00227901, 0.0195025, 1
0.222, 0.00229855, 0.0195722, 1
0.223, 0.00231815, 0.0196418, 1
0.224, 0.00233783, 0.0197111, 1
0.225, 0.00235757, 0.0197801, 1
0.226, 0.00237739, 0.019849, 1
0.227, 0.00239727, 0.0199176, 1
0.228, 0.00241722, 0.019986, 1
0.229, 0.00243724, 0.0200542, 1
0.23, 0.00245733, 0.0201221, 1
0.231, 0.00247749, 0.0201899, 1
0.232, 0.00249771, 0.0202574, 1
0.233, 0.002518, 0.0203247, 1
0.234, 0.00253836, 0.0203917, 1
0.235, 0.00255879, 0.0204585, 1
0.236, 0.00257928, 0.0205251, 1
0.237, 0.00259984, 0.0205915, 1
0.238, 0.00262046, 0.0206577, 1
0.239, 0.00264115, 0.0207236, 1
0.24, 0.00266191, 0.0207893, 1
0.241, 0.00268273, 0.0208547, 1
0.242, 0.00270362, 0.0209199, 1
0.243, 0.00272457, 0.0209849, 1
0.244, 0.00274559, 0.0210497, 1
0.245, 0.00276667, 0.0211142, 1
0.246, 0.00278782, 0.0211785, 1
0.247, 0.00280903, 0.0212426, 1
0.248, 0.0028303, 0.0213064, 1
0.249, 0.00285164, 0.02137, 1
0.25, 0.00287304, 0.0214334, 1
0.251, 0.00289451, 0.0214965, 1
0.252, 0.00291603, 0.0215594, 1
0.253, 0.00293762, 0.021622, 1
0.254, 0.00295928, 0.0216845, 1
0.255, 0.00298099, 0.0217466, 1
0.256, 0.00300277, 0.0218086, 1
0.257, 0.00302461, 0.0218703, 1
0.258, 0.00304651, 0.0219317, 1
0.259, 0.00306847, 0.021993, 1
0.26, 0.0030905, 0.0220539, 1
0.261, 0.00311258, 0.0221147, 1
0.262, 0.00313473, 0.0221752, 1
0.263, 0.00315693, 0.0222354, 1
0.264, 0.0031792, 0.0222954, 1
0.265, 0.00320152, 0.0223552, 1
0.266, 0.00322391, 0.0224147, 1
0.267, 0.00324635, 0.022474, 1
0.268, 0.00326886, 0.0225331, 1
0.269, 0.00329142, 0.0225919, 1
0.27, 0.00331404, 0.0226504, 1
0.271, 0.00333672, 0.0227087, 1
0.272, 0.00335946, 0.0227668, 1
0.273, 0.00338225, 0.0228246, 1
0.274, 0.00340511, 0.0228822, 1
0.275, 0.00342802, 0.0229395, 1
0.276, 0.00345099, 0.0229966, 1
0.277, 0.00347401, 0.0230534, 1
0.278, 0.00349709, 0.02311, 1
0.279, 0.00352023, 0.0231663, 1
0.28, 0.00354342, 0.0232224, 1
0.281, 0.00356667, 0.0232782, 1
0.282, 0.00358998, 0.0233338, 1
0.283, 0.00361334, 0.0233891, 1
0.284, 0.00363676, 0.0234442, 1
0.285, 0.00366023, 0.023499, 1
0.286, 0.00368376, 0.0235535, 1
0.287, 0.00370734, 0.0236079, 1
0.288, 0.00373097, 0.0236619, 1
0.289, 0.00375466, 0.0237157, 1
0.29, 0.0037784, 0.0237693, 1
0.291, 0.0038022, 0.0238226, 1
0.292, 0.00382605, 0.0238756, 1
0.293, 0.00384995, 0.0239284, 1
0.294, 0.00387391, 0.0239809, 1
0.295, 0.00389791, 0.0240332, 1
0.296, 0.00392197, 0.0240852, 1
0.297, 0.00394608, 0.024137, 1
0.298, 0.00397025, 0.0241885, 1
0.299, 0.00399446, 0.0242398, 1
0.3, 0.00401873, 0.0242907, 1
0.301, 0.00404304, 0.0243415, 1
0.302, 0.00406741, 0.0243919, 1
0.303, 0.00409182, 0.0244422, 1
0.304, 0.00411629, 0.0244921, 1
0.305, 0.00414081, 0.0245418, 1
0.306, 0.00416538, 0.0245912, 1
0.307, 0.00418999, 0.0246404, 1
0.308, 0.00421466, 0.0246893, 1
0.309, 0.00423937, 0.024738, 1
0.31, 0.00426413, 0.0247863, 1
0.311, 0.00428894, 0.0248345, 1
0.312, 0.0043138, 0.0248823, 1
0.313, 0.00433871, 0.0249299, 1
0.314, 0.00436366, 0.0249773, 1
0.315, 0.00438866, 0.0250243, 1
0.316, 0.00441371, 0.0250711, 1
0.317, 0.0044388, 0.0251177, 1
0.318, 0.00446394, 0.025164, 1
0.319, 0.00448913, 0.02521, 1
0.32, 0.00451436, 0.0252557, 1
0.321, 0.00453964, 0.0253012, 1
0.322, 0.00456497, 0.0253464, 1
0.323, 0.00459034, 0.0253913, 1
0.324, 0.00461575, 0.025436, 1
0.325, 0.00464121, 0.0254804, 1
0.326, 0.00466671, 0.0255246, 1
0.327, 0.00469226, 0.0255685, 1
0.328, 0.00471785, 0.0256121, 1
0.329, 0.00474348, 0.0256554, 1
0.33, 0.00476916, 0.0256985, 1
0.331, 0.00479488, 0.0257413, 1
0.332, 0.00482064, 0.0257838, 1
0.333, 0.00484645, 0.0258261, 1
0.334, 0.00487229, 0.0258681, 1
0.335, 0.00489818, 0.0259098, 1
0.336, 0.00492411, 0.0259512, 1
0.337, 0.00495008, 0.0259924, 1
0.338, 0.0049761, 0.0260333, 1
0.339, 0.00500215, 0.0260739, 1
0.34, 0.00502824, 0.0261143, 1
0.341, 0.00505438, 0.0261544, 1
0.342, 0.00508055, 0.0261942, 1
0.343, 0.00510677, 0.0262338, 1
0.344, 0.00513302, 0.026273, 1
0.345, 0.00515931, 0.026312, 1
0.346, 0.00518564, 0.0263508, 1
0.347, 0.00521201, 0.0263892, 1
0.348, 0.00523842, 0.0264274, 1
0.349, 0.00526487, 0.0264653, 1
0.35, 0.00529135, 0.0265029, 1
0.351, 0.00531787, 0.0265403, 1
0.352, 0.00534443, 0.0265774, 1
0.353, 0.00537103, 0.0266142, 1
0.354, 0.00539766, 0.0266507, 1
0.355, 0.00542433, 0.0266869, 1
0.356, 0.00545104, 0.0267229, 1
0.357, 0.00547778, 0.0267586, 1
0.358, 0.00550455, 0.026794, 1
0.359, 0.00553136, 0.0268292, 1
0.36, 0.00555821, 0.026864, 1
0.361, 0.00558509, 0.0268986, 1
0.362, 0.00561201, 0.0269329, 1
0.363, 0.00563896, 0.026967, 1
0.364, 0.00566594, 0.0270007, 1
0.365, 0.00569296, 0.0270342, 1
0.366, 0.00572001, 0.0270674, 1
0.367, 0.00574709, 0.0271003, 1
0.368, 0.00577421, 0.027133, 1
0.369, 0.00580136, 0.0271653, 1
0.37, 0.00582854, 0.0271974, 1
0.371, 0.00585575, 0.0272292, 1
0.372, 0.005883, 0.0272607, 1
0.373, 0.00591028, 0.027292, 1
0.374, 0.00593758, 0.027323, 1
0.375, 0.00596492, 0.0273536, 1
0.376, 0.00599229, 0.027384, 1
0.377, 0.00601969, 0.0274142, 1
0.378, 0.00604712, 0.027444, 1
0.379, 0.00607458, 0.0274736, 1
0.38, 0.00610207, 0.0275028, 1
0.381, 0.00612958, 0.0275318, 1
0.382, 0.00615713, 0.0275606, 1
0.383, 0.0061847, 0.027589, 1
0.384, 0.00621231, 0.0276171, 1
0.385, 0.00623994, 0.027645, 1
0.386, 0.0062676, 0.0276726, 1
0.387, 0.00629528, 0.0276999, 1
0.388, 0.006323, 0.0277269, 1
0.389, 0.00635074, 0.0277537, 1
0.39, 0.0063785, 0.0277801, 1
0.391, 0.0064063, 0.0278063, 1
0.392, 0.00643412, 0.0278322, 1
0.393, 0.00646196, 0.0278578, 1
0.394, 0.00648983, 0.0278831, 1
0.395, 0.00651773, 0.0279082, 1
